Location,Station,Size
Abbeyhill,1.0,2.0
Balgreen and Roseburn,1.0,13.0
"Blackford, West Mains and Mayfield Road",1.0,19.0
Bonnington,1.0,11.0
Boswall and Pilton,1.0,25.0
Broughton North and Powderhall,1.0,17.0
Broughton South,1.0,18.0
Bruntsfield,1.0,34.0
"Canongate, Southside and Dumbiedykes",1.0,22.0
Canonmills and New Town North,1.0,5.0
Comely Bank,1.0,6.0
"Craigleith, Orchard Brae and Crewe Toll",1.0,29.0
Dalry and Fountainbridge,1.0,34.0
Deans Village,1.0,78.0
Drylaw,1.0,6.0
Easter Road and Hawkhill Avenue,1.0,10.0
Gorgie East,1.0,5.0
Gorgie West,1.0,10.0
Granton and Royston Mains,1.0,8.0
Granton South and Wardieburn,1.0,8.0
Granton West and Salvesen,1.0,6.0
Great Junction Street,1.0,10.0
Hillside and Calton Hill,1.0,11.0
"Inverleith, Goldenacre and Warriston",1.0,6.0
Leith (Albert Street),1.0,12.0
Leith (Hermitage and Prospect Bank),1.0,13.0
Marchmont East and Sciennes,1.0,4.0
Marchmont West,1.0,4.0
Meadowbank and Abbeyhill North,1.0,18.0
Meadows and Southside,1.0,48.0
Merchiston and Greenhill,1.0,12.0
Morningside,1.0,11.0
Morningside and Craighouse,1.0,10.0
Murrayfield and Ravelston,1.0,7.0
New Town East and Gayfield,1.0,8.0
New Town West,1.0,23.0
Newington and Dalkeith Road,1.0,4.0
North Leith and Newhaven,1.0,10.0
"Old Town, Princes Street and Leith Street",1.0,100.0
Pilrig,1.0,10.0
Polwarth,1.0,16.0
Prestonfield,1.0,3.0
Restalrig (Loganlea) and Craigentinny West,1.0,7.0
Restalrig and Lochend,1.0,6.0
Shandon,1.0,11.0
Slateford and Chesser,1.0,8.0
South Leith,1.0,11.0
Stockbridge,1.0,12.0
The Grange,1.0,6.0
The Shore and Constitution Street,1.0,14.0
Tollcross,1.0,100.0
Trinity,1.0,20.0
Trinity East and The Dudleys,1.0,12.0
West Pilton,1.0,6.0
Western Harbour and Leith Docks,1.0,22.0
Willowbrae and Duddingston Village,1.0,9.0
