Location,Station,Size
Abbeyhill,0.0,0.0
Baberton and Juniper Green,1.0,20.0
Balerno and Bonnington Village,1.0,20.0
Balgreen and Roseburn,0.0,0.0
"Barnton, Cammo and Cramond South",0.0,0.0
"Bingham, Magdalene and The Christians",0.0,0.0
"Blackford, West Mains and Mayfield Road",1.0,20.0
Blackhall,1.0,20.0
Bonaly and The Pentlands,0.0,0.0
Bonnington,0.0,0.0
Boswall and Pilton,1.0,20.0
Broomhouse and Bankhead,1.0,20.0
Broughton North and Powderhall,0.0,0.0
Broughton South,0.0,0.0
Bruntsfield,0.0,0.0
"Canongate, Southside and Dumbiedykes",1.0,20.0
Canonmills and New Town North,0.0,0.0
Carrick Knowe,0.0,0.0
Clermiston and Drumbrae,0.0,0.0
Clovenstone and Wester Hailes,0.0,0.0
Colinton and Kingsknowe,0.0,0.0
Colinton Mains and Firrhill,0.0,0.0
Comely Bank,0.0,0.0
Comiston and Swanston,0.0,0.0
Corstorphine,1.0,20.0
Corstorphine North,0.0,0.0
Corstorphine South,0.0,0.0
Craigentinny,0.0,0.0
"Craigleith, Orchard Brae and Crewe Toll",1.0,20.0
Craiglockhart,1.0,20.0
Craigmillar,1.0,20.0
Cramond,0.0,0.0
Currie East,1.0,20.0
Currie West,1.0,20.0
"Dalmeny, Kirkliston and Newbridge",1.0,20.0
Dalry and Fountainbridge,1.0,20.0
Deans Village,1.0,20.0
Drylaw,0.0,0.0
Duddingston and Portobello South,0.0,0.0
East Craigs North,0.0,0.0
East Craigs South,1.0,20.0
Easter Road and Hawkhill Avenue,0.0,0.0
Fairmilehead,0.0,0.0
Fernieside and Moredun South,0.0,0.0
Gilmerton South and the Murrays,1.0,20.0
Gorgie East,0.0,0.0
Gorgie West,0.0,0.0
"Gracemount, Southhouse and Burdiehouse",0.0,0.0
Granton and Royston Mains,0.0,0.0
Granton South and Wardieburn,0.0,0.0
Granton West and Salvesen,1.0,20.0
Great Junction Street,1.0,20.0
Greenbank and The Braids,0.0,0.0
Hillside and Calton Hill,1.0,20.0
Hyvots and Gilmerton,0.0,0.0
"Inverleith, Goldenacre and Warriston",0.0,0.0
"Jewel, Brunstane and Newcraighall",1.0,20.0
Joppa,1.0,20.0
Leith (Albert Street),0.0,0.0
Leith (Hermitage and Prospect Bank),0.0,0.0
Liberton East,0.0,0.0
Liberton West and Braid Hills,0.0,0.0
Longstone and Saughton,0.0,0.0
Marchmont East and Sciennes,0.0,0.0
Marchmont West,0.0,0.0
Meadowbank and Abbeyhill North,0.0,0.0
Meadows and Southside,1.0,20.0
Merchiston and Greenhill,1.0,20.0
Moredun and Craigour,0.0,0.0
Morningside,1.0,20.0
Morningside and Craighouse,0.0,0.0
Mortonhall and Anwickhill,0.0,0.0
Mountcastle,0.0,0.0
Muirhouse,0.0,0.0
Murrayburn and Wester Hailes North,0.0,0.0
Murrayfield and Ravelston,0.0,0.0
New Town East and Gayfield,0.0,0.0
New Town West,1.0,20.0
Newington and Dalkeith Road,0.0,0.0
Niddrie,0.0,0.0
North Leith and Newhaven,0.0,0.0
Northfield and Piershill,0.0,0.0
"Old Town, Princes Street and Leith Street",1.0,20.0
Oxgangs,0.0,0.0
Parkhead and Sighthill,0.0,0.0
Pilrig,0.0,0.0
Polwarth,0.0,0.0
Portobello,1.0,20.0
Prestonfield,0.0,0.0
Queensferry East,1.0,20.0
Queensferry West,1.0,20.0
"Ratho, Ingliston and Gogar",1.0,20.0
Restalrig (Loganlea) and Craigentinny West,0.0,0.0
Restalrig and Lochend,0.0,0.0
Shandon,0.0,0.0
Silverknowes and Davidson's Mains,0.0,0.0
Slateford and Chesser,1.0,20.0
South Gyle,1.0,20.0
South Leith,0.0,0.0
Stenhouse and Saughton Mains,1.0,20.0
Stockbridge,1.0,20.0
The Calders,0.0,0.0
The Grange,0.0,0.0
The Inch,0.0,0.0
The Shore and Constitution Street,1.0,20.0
Tollcross,1.0,20.0
Trinity,0.0,0.0
Trinity East and The Dudleys,0.0,0.0
West Pilton,0.0,0.0
Western Harbour and Leith Docks,1.0,20.0
Willowbrae and Duddingston Village,1.0,20.0
